year,sex,highest_qualification,labour_force
2008,female,primary and below,105900
2008,female,lower secondary,73900
2008,female,secondary,216600
2008,female,post-secondary (non-tertiary),69500
2008,female,diploma and professional qualification,148000
2008,female,degree,221200
2009,male,primary and below,161700
2009,male,lower secondary,131800
2009,male,secondary,260000
2009,male,post-secondary (non-tertiary),92100
2009,male,diploma and professional qualification,187000
2009,male,degree,294300
2009,female,primary and below,110700
2009,female,lower secondary,77700
2009,female,secondary,222200
2009,female,post-secondary (non-tertiary),62500
2009,female,diploma and professional qualification,149200
2009,female,degree,236600
2010,male,primary and below,153600
2010,male,lower secondary,117000
2010,male,secondary,212700
2010,male,post-secondary (non-tertiary),154000
2010,male,diploma and professional qualification,202600
2010,male,degree,311700
2010,female,primary and below,113400
2010,female,lower secondary,71400
2010,female,secondary,197600
2010,female,post-secondary (non-tertiary),92000
2010,female,diploma and professional qualification,167700
2010,female,degree,253600
2011,male,primary and below,151600
2011,male,lower secondary,112900
2011,male,secondary,216500
2011,male,post-secondary (non-tertiary),153200
2011,male,diploma and professional qualification,209300
2011,male,degree,316900
2011,female,primary and below,110200
2011,female,lower secondary,72000
2011,female,secondary,203700
2011,female,post-secondary (non-tertiary),92000
2011,female,diploma and professional qualification,169600
2011,female,degree,272200
2012,male,primary and below,150300
2012,male,lower secondary,108400
2012,male,secondary,209400
2012,male,post-secondary (non-tertiary),156200
2012,male,diploma and professional qualification,216000
2012,male,degree,337400
2012,female,primary and below,109400
2012,female,lower secondary,70600
2012,female,secondary,198500
2012,female,post-secondary (non-tertiary),97800
2012,female,diploma and professional qualification,180800
2012,female,degree,284900
2013,male,primary and below,143000
2013,male,lower secondary,105700
2013,male,secondary,204700
2013,male,post-secondary (non-tertiary),154000
2013,male,diploma and professional qualification,213800
2013,male,degree,362000
2013,female,primary and below,108300
2013,female,lower secondary,66000
2013,female,secondary,195900
2013,female,post-secondary (non-tertiary),93700
2013,female,diploma and professional qualification,180200
2013,female,degree,311600
2014,male,primary and below,143100
2014,male,lower secondary,101500
2014,male,secondary,197700
2014,male,post-secondary (non-tertiary),153800
2014,male,diploma and professional qualification,230500
2014,male,degree,375900
2014,female,primary and below,107700
2014,female,lower secondary,67400
2014,female,secondary,192400
2014,female,post-secondary (non-tertiary),96500
2014,female,diploma and professional qualification,195600
2014,female,degree,323000
2015,male,primary and below,140900
2015,male,lower secondary,95000
2015,male,secondary,205300
2015,male,post-secondary (non-tertiary),163200
2015,male,diploma and professional qualification,230900
2015,male,degree,380800
2015,female,primary and below,109700
2015,female,lower secondary,61600
2015,female,secondary,201500
2015,female,post-secondary (non-tertiary),104500
2015,female,diploma and professional qualification,200200
2015,female,degree,338700
2016,male,primary and below,132700
2016,male,lower secondary,99200
2016,male,secondary,197300
2016,male,post-secondary (non-tertiary),162000
2016,male,diploma and professional qualification,238800
2016,male,degree,394500
2016,female,primary and below,110900
2016,female,lower secondary,68800
2016,female,secondary,189300
2016,female,post-secondary (non-tertiary),98300
2016,female,diploma and professional qualification,200000
2016,female,degree,365900
2017,male,primary and below,132800
2017,male,lower secondary,95500
2017,male,secondary,190500
2017,male,post-secondary (non-tertiary),160400
2017,male,diploma and professional qualification,231000
2017,male,degree,428400
2017,female,primary and below,104900
2017,female,lower secondary,65800
2017,female,secondary,183500
2017,female,post-secondary (non-tertiary),96700
2017,female,diploma and professional qualification,198500
2017,female,degree,381700
2018,male,primary and below,119200
2018,male,lower secondary,86100
2018,male,secondary,192600
2018,male,post-secondary (non-tertiary),163700
2018,male,diploma and professional qualification,239300
2018,male,degree,442800
2018,female,primary and below,100300
2018,female,lower secondary,59400
2018,female,secondary,183200
2018,female,post-secondary (non-tertiary),100600
2018,female,diploma and professional qualification,207400
2018,female,degree,398200
2019,male,primary and below,118300
2019,male,lower secondary,82400
2019,male,secondary,187700
2019,male,post-secondary (non-tertiary),160200
2019,male,diploma and professional qualification,253800
2019,male,degree,448800
2019,female,primary and below,93900
2019,female,lower secondary,57500
2019,female,secondary,185600
2019,female,post-secondary (non-tertiary),101600
2019,female,diploma and professional qualification,214900
2019,female,degree,423900
2020,male,primary and below,115700
2020,male,lower secondary,77100
2020,male,secondary,180800
2020,male,post-secondary (non-tertiary),166000
2020,male,diploma and professional qualification,250600
2020,male,degree,469800
2020,female,primary and below,94900
2020,female,lower secondary,47100
2020,female,secondary,180000
2020,female,post-secondary (non-tertiary),103200
2020,female,diploma and professional qualification,213700
2020,female,degree,446500
2021,male,primary and below,108400
2021,male,lower secondary,72200
2021,male,secondary,170500
2021,male,post-secondary (non-tertiary),159600
2021,male,diploma and professional qualification,258200
2021,male,degree,506700
2021,female,primary and below,83700
2021,female,lower secondary,47300
2021,female,secondary,173400
2021,female,post-secondary (non-tertiary),108200
2021,female,diploma and professional qualification,225900
2021,female,degree,483600
2022,male,primary and below,103900
2022,male,lower secondary,69000
2022,male,secondary,181000
2022,male,post-secondary (non-tertiary),163100
2022,male,diploma and professional qualification,260200
2022,male,degree,523000
2022,female,primary and below,85000
2022,female,lower secondary,51600
2022,female,secondary,159400
2022,female,post-secondary (non-tertiary),115000
2022,female,diploma and professional qualification,235500
2022,female,degree,491200
2023,male,primary and below,99800
2023,male,lower secondary,64500
2023,male,secondary,175700
2023,male,post-secondary (non-tertiary),163200
2023,male,diploma and professional qualification,261500
2023,male,degree,520700
2023,female,primary and below,83800
2023,female,lower secondary,49200
2023,female,secondary,154800
2023,female,post-secondary (non-tertiary),114800
2023,female,diploma and professional qualification,235900
2023,female,degree,512200
2024,male,primary and below,92900
2024,male,lower secondary,62100
2024,male,secondary,167900
2024,male,post-secondary (non-tertiary),163400
2024,male,diploma and professional qualification,263900
2024,male,degree,531200
2024,female,primary and below,78600
2024,female,lower secondary,46000
2024,female,secondary,155300
2024,female,post-secondary (non-tertiary),118600
2024,female,diploma and professional qualification,237200
2024,female,degree,529300
2025,male,primary and below,89500
2025,male,lower secondary,67700
2025,male,secondary,162700
2025,male,post-secondary (non-tertiary),161900
2025,male,diploma and professional qualification,264700
2025,male,degree,538200
2025,female,primary and below,81600
2025,female,lower secondary,51300
2025,female,secondary,147200
2025,female,post-secondary (non-tertiary),120300
2025,female,diploma and professional qualification,236200
2025,female,degree,535100
